Return ID,Order Item ID,Customer ID,Return Date,Reason,Refund Amount
70000,30004,100001,2025-11-12,وصل غير المطلوب,729.85
70001,30005,100001,2025-06-19,منتج تالف,450.11
70002,30010,100002,2024-08-01,لا يعمل,1168.64
70003,30034,100004,2025-10-30,وصل غير المطلوب,9278.19
70004,30042,100005,2025-01-27,منتج تالف,2231.08
70005,30050,100006,2024-01-15,لا يعمل,3268.92
70006,30061,100008,2025-06-15,لا يعمل,2223.17
70007,30063,100008,2025-06-04,وصل غير المطلوب,1352.52
70008,30079,100010,2024-12-02,منتج تالف,6934.1
70009,30084,100010,2024-07-24,تراجع عن الشراء,1650.05
70010,30091,100011,2025-11-27,لا يعمل,1778.76
70011,30101,100012,2025-06-03,تراجع عن الشراء,4224.8
70012,30102,100012,2024-09-15,وصل غير المطلوب,905.91
70013,30108,100013,2025-05-07,تراجع عن الشراء,166.43
70014,30111,100013,2025-05-28,لا يعمل,307.02
70015,30113,100013,2025-03-25,منتج تالف,37458.41
70016,30117,100013,2025-07-14,تراجع عن الشراء,82.82
70017,30118,100014,2024-02-21,منتج تالف,180.81
70018,30130,100015,2024-12-12,منتج تالف,207.59
70019,30131,100015,2024-02-17,تراجع عن الشراء,243.26
70020,30132,100015,2024-02-14,منتج تالف,2306.45
70021,30139,100016,2025-07-09,لا يعمل,98.24
70022,30146,100018,2024-08-10,منتج تالف,7414.92
70023,30160,100019,2025-10-04,منتج تالف,2877.18
70024,30170,100020,2025-03-16,لا يعمل,5821.13
70025,30181,100021,2024-12-09,لا يعمل,18407.66
70026,30188,100021,2025-08-27,لا يعمل,170.73
70027,30190,100022,2024-02-15,تراجع عن الشراء,2177.82
70028,30211,100024,2025-07-12,منتج تالف,329.33
70029,30233,100027,2025-05-28,منتج تالف,4113.07
70030,30246,100029,2024-12-16,تراجع عن الشراء,2257.63
70031,30259,100031,2025-04-05,منتج تالف,268.36
70032,30260,100031,2025-04-14,تراجع عن الشراء,290.05
70033,30264,100032,2025-09-19,وصل غير المطلوب,2998.97
70034,30287,100035,2024-05-21,منتج تالف,120166.45
70035,30289,100036,2025-02-18,لا يعمل,1129.2
70036,30293,100036,2024-07-03,وصل غير المطلوب,2419.18
70037,30298,100037,2025-08-26,تراجع عن الشراء,2526.39
70038,30339,100043,2024-02-02,تراجع عن الشراء,477474.33
70039,30361,100046,2024-05-19,وصل غير المطلوب,2380.39
70040,30362,100047,2024-08-31,تراجع عن الشراء,2113.46
70041,30369,100047,2024-08-08,منتج تالف,615.47
70042,30370,100047,2024-08-05,تراجع عن الشراء,824.2
70043,30376,100048,2024-04-01,وصل غير المطلوب,1158.57
70044,30385,100051,2024-11-29,وصل غير المطلوب,161.49
70045,30387,100051,2024-05-15,وصل غير المطلوب,94771.76
70046,30396,100052,2024-04-05,تراجع عن الشراء,163.75
70047,30405,100054,2024-07-02,وصل غير المطلوب,311.2
70048,30417,100055,2025-09-15,وصل غير المطلوب,1401.29
