Return ID,Order Item ID,Customer ID,Return Date,Reason,Refund Amount
161757,430309,150002,2025-05-30,وصل غير المطلوب,20194.84
161758,430313,150002,2025-11-20,وصل غير المطلوب,1141.6
161759,430314,150002,2024-09-12,منتج تالف,451.12
161760,430316,150002,2024-09-12,لا يعمل,54522.3
161761,430320,150004,2024-05-28,تراجع عن الشراء,290.16
161762,430321,150004,2024-05-14,وصل غير المطلوب,870.83
161763,430322,150004,2025-01-17,لا يعمل,223.29
161764,430333,150005,2025-05-25,تراجع عن الشراء,94753.59
161765,430337,150006,2025-09-03,لا يعمل,15508.76
161766,430373,150011,2024-02-10,منتج تالف,65.06
161767,430384,150012,2025-11-22,لا يعمل,18694.71
161768,430385,150013,2025-07-13,وصل غير المطلوب,10398.7
161769,430389,150013,2025-08-07,تراجع عن الشراء,3064.55
161770,430395,150014,2025-04-23,وصل غير المطلوب,26.61
161771,430398,150014,2024-12-14,منتج تالف,1236.61
161772,430401,150014,2025-11-04,وصل غير المطلوب,2124.24
161773,430413,150017,2025-02-06,لا يعمل,3148.4
161774,430421,150018,2024-09-28,لا يعمل,875.11
161775,430424,150018,2025-01-24,تراجع عن الشراء,8325.69
161776,430426,150018,2025-11-24,لا يعمل,651.39
161777,430449,150021,2024-02-02,لا يعمل,279.86
161778,430450,150021,2024-03-24,تراجع عن الشراء,235.06
161779,430470,150023,2024-10-13,لا يعمل,4806.63
161780,430476,150024,2024-01-25,منتج تالف,969.64
161781,430486,150025,2025-02-27,منتج تالف,9064.0
161782,430507,150028,2024-05-13,منتج تالف,97.29
161783,430520,150030,2023-12-24,لا يعمل,8779.89
161784,430530,150031,2025-08-30,تراجع عن الشراء,8035.79
161785,430534,150031,2024-07-14,وصل غير المطلوب,259.29
161786,430564,150036,2025-12-05,لا يعمل,660.39
161787,430572,150037,2025-03-23,لا يعمل,4629.85
161788,430575,150038,2025-03-14,لا يعمل,273.97
161789,430581,150039,2025-03-20,وصل غير المطلوب,9820.6
161790,430599,150041,2025-06-26,وصل غير المطلوب,1187.0
161791,430602,150042,2025-05-31,لا يعمل,7.25
161792,430619,150045,2025-05-02,تراجع عن الشراء,1337.82
161793,430621,150045,2025-11-23,تراجع عن الشراء,5427.19
161794,430639,150048,2025-08-26,وصل غير المطلوب,26468.2
161795,430640,150049,2024-02-13,لا يعمل,440.96
161796,430650,150051,2025-05-15,منتج تالف,224.38
161797,430670,150054,2025-10-21,منتج تالف,18574.95
161798,430677,150055,2024-07-10,منتج تالف,649.87
161799,430680,150055,2024-02-10,منتج تالف,384.37
161800,430681,150056,2025-11-14,منتج تالف,464.81
161801,430687,150057,2025-04-17,منتج تالف,2056.68
161802,430694,150058,2025-01-07,لا يعمل,109.4
161803,430705,150060,2024-04-05,تراجع عن الشراء,205.73
161804,430727,150064,2025-06-24,وصل غير المطلوب,496.04
161805,430733,150065,2024-12-24,منتج تالف,20492.4
161806,430742,150066,2024-06-11,وصل غير المطلوب,17958.96
161807,430746,150068,2025-05-02,منتج تالف,3553.68
161808,430757,150069,2025-10-11,لا يعمل,8568.86
161809,430781,150073,2024-04-15,وصل غير المطلوب,489.03
161810,430788,150074,2023-12-17,وصل غير المطلوب,133.78
161811,430790,150075,2025-01-17,منتج تالف,719.56
161812,430797,150076,2025-01-24,وصل غير المطلوب,11544.87
161813,430809,150078,2024-04-24,وصل غير المطلوب,318.31
161814,430814,150079,2024-12-10,لا يعمل,88.87
161815,430815,150079,2024-06-14,تراجع عن الشراء,61.94
161816,430818,150080,2025-08-14,لا يعمل,211.26
161817,430833,150083,2025-06-21,وصل غير المطلوب,173.32
161818,430843,150085,2024-10-27,تراجع عن الشراء,2290.87
161819,430859,150087,2025-12-09,وصل غير المطلوب,5508.74
161820,430864,150087,2024-08-29,لا يعمل,894.2
161821,430867,150088,2025-04-11,منتج تالف,8891.44
161822,430868,150088,2025-06-27,لا يعمل,4437.22
161823,430870,150088,2025-06-28,لا يعمل,211.87
161824,430898,150092,2024-06-24,منتج تالف,13271.06
161825,430899,150092,2025-02-14,وصل غير المطلوب,370.5
161826,430901,150092,2025-09-26,لا يعمل,58485.25
161827,430902,150092,2025-10-01,لا يعمل,321.21
161828,430906,150093,2024-03-08,وصل غير المطلوب,680.53
161829,430909,150093,2024-05-11,تراجع عن الشراء,302.53
161830,430911,150094,2024-04-15,تراجع عن الشراء,617.02
161831,430925,150095,2024-12-29,وصل غير المطلوب,453.89
161832,430939,150096,2024-10-28,تراجع عن الشراء,1957.01
161833,430948,150098,2024-05-14,تراجع عن الشراء,528.59
161834,430949,150098,2024-12-22,وصل غير المطلوب,2740.08
161835,430958,150099,2024-03-13,لا يعمل,47599.96
161836,430977,150102,2025-05-20,منتج تالف,883.99
161837,430982,150103,2024-09-24,لا يعمل,1157.46
161838,430983,150103,2024-09-27,تراجع عن الشراء,1845.9
161839,430989,150103,2025-06-30,وصل غير المطلوب,1018.13
161840,430990,150103,2025-03-30,وصل غير المطلوب,7198.66
161841,431018,150106,2025-10-19,لا يعمل,69.18
161842,431036,150108,2025-02-18,منتج تالف,4717.36
161843,431042,150108,2025-01-16,وصل غير المطلوب,1024.74
161844,431045,150109,2025-05-11,وصل غير المطلوب,8624.59
161845,431055,150110,2025-08-14,لا يعمل,371.87
161846,431089,150115,2024-04-01,وصل غير المطلوب,401.3
161847,431093,150116,2024-07-07,لا يعمل,14308.87
161848,431101,150117,2025-01-20,وصل غير المطلوب,4291.78
161849,431106,150118,2025-10-30,تراجع عن الشراء,22400.1
161850,431125,150120,2025-06-06,لا يعمل,625.46
161851,431142,150122,2025-09-15,لا يعمل,4809.44
161852,431146,150123,2025-06-24,تراجع عن الشراء,228.36
161853,431152,150123,2025-11-10,وصل غير المطلوب,1043.83
161854,431166,150125,2025-04-18,لا يعمل,333.78
161855,431169,150125,2025-11-22,لا يعمل,3769.16
161856,431176,150127,2025-06-09,تراجع عن الشراء,2329.4
161857,431180,150127,2024-06-09,منتج تالف,1137.89
161858,431189,150129,2025-07-04,لا يعمل,1041.62
161859,431194,150130,2024-05-04,لا يعمل,257.75
161860,431202,150131,2024-04-21,لا يعمل,706.24
161861,431203,150131,2024-04-08,تراجع عن الشراء,63.38
161862,431207,150132,2025-10-28,وصل غير المطلوب,714.01
161863,431214,150133,2024-11-04,وصل غير المطلوب,236.15
161864,431217,150134,2025-03-04,وصل غير المطلوب,436.67
