Return ID,Order Item ID,Customer ID,Return Date,Reason,Refund Amount
253777,830615,200000,2024-04-17,وصل غير المطلوب,293.32
253778,830625,200001,2024-01-09,لا يعمل,724.87
253779,830629,200001,2023-12-08,وصل غير المطلوب,1209.65
253780,830633,200001,2024-12-07,تراجع عن الشراء,144.38
253781,830635,200002,2025-01-03,تراجع عن الشراء,6310.56
253782,830638,200002,2025-04-03,وصل غير المطلوب,92.08
253783,830648,200003,2025-05-02,تراجع عن الشراء,4921.31
253784,830662,200005,2024-11-11,وصل غير المطلوب,750.4
253785,830666,200005,2024-05-30,لا يعمل,1101.28
253786,830670,200005,2024-12-13,وصل غير المطلوب,20721.97
253787,830671,200005,2024-11-29,لا يعمل,6833.28
253788,830699,200010,2024-02-22,وصل غير المطلوب,20227.9
253789,830713,200013,2024-09-02,منتج تالف,108351.34
253790,830741,200018,2024-08-24,لا يعمل,3100.08
253791,830754,200019,2024-11-17,منتج تالف,109798.73
253792,830757,200020,2025-12-19,تراجع عن الشراء,217.99
253793,830764,200021,2024-08-05,تراجع عن الشراء,2181.77
253794,830778,200023,2025-06-30,تراجع عن الشراء,546.3
253795,830781,200024,2025-11-12,تراجع عن الشراء,6213.97
253796,830782,200024,2025-11-08,تراجع عن الشراء,1778.98
253797,830811,200029,2025-09-07,وصل غير المطلوب,200.96
253798,830812,200029,2025-08-27,تراجع عن الشراء,303.35
253799,830816,200029,2025-07-04,لا يعمل,28648.13
253800,830819,200030,2025-10-10,تراجع عن الشراء,662.32
253801,830823,200030,2025-04-04,منتج تالف,58734.34
253802,830827,200030,2025-03-02,وصل غير المطلوب,441.93
253803,830831,200031,2025-12-16,وصل غير المطلوب,775.38
253804,830839,200032,2025-06-10,لا يعمل,55.51
253805,830846,200033,2025-08-10,لا يعمل,851.61
253806,830850,200034,2025-05-27,لا يعمل,441.65
253807,830855,200034,2025-10-10,لا يعمل,332.02
253808,830878,200037,2024-05-20,وصل غير المطلوب,331.31
253809,830885,200038,2024-08-14,لا يعمل,1276.98
253810,830912,200042,2025-11-19,منتج تالف,842.92
253811,830915,200042,2025-04-05,منتج تالف,13446.45
253812,830974,200052,2025-12-05,تراجع عن الشراء,3436.54
253813,830984,200054,2025-02-23,وصل غير المطلوب,5355.29
253814,831012,200056,2024-05-03,لا يعمل,168.23
253815,831013,200056,2024-05-06,وصل غير المطلوب,685.21
253816,831014,200056,2024-05-08,لا يعمل,665.81
253817,831016,200057,2024-12-15,منتج تالف,26103.28
253818,831017,200057,2024-12-15,تراجع عن الشراء,6242.62
253819,831020,200057,2025-09-30,تراجع عن الشراء,13666.54
253820,831034,200059,2025-11-06,لا يعمل,891.42
