Product Name,Price,Discount,Rate,Category,Company,Product Page
Honor هاتف هونر X6c ثنائي الشريحة 4G – سعة 256 جيجابايت، 6 جيجابايت RAM – لون أزرق محيطي,"6,099.00 جنيه",10%,4.1 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-x6c-dual-sim-4g-smartphone-256gb-storage-6gb-ram-ocean-cyan-133130997.html
"Honor PAD X7 8.7"" Inch ""Wifi Only"" 128GB/4GB - Gray","4,299.00 جنيه",12%,4.7 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-pad-x7-8.7-inch-wifi-only-128gb4gb-gray-133618937.html
Samsung Galaxy A36 Dual SIM 5G 256GB/8GB Mobile Phone - Awesome Lavender,"15,999.00 جنيه",9%,4.3 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/galaxy-a36-dual-sim-5g-256gb8gb-mobile-phone-awesome-lavender-samsung-mpg3861600.html
Honor هاتف ذكي 400 ثنائي الشريحة 5G - 256 جيجابايت/12 جيجابايت - فضي نيزكي,"19,599.00 جنيه",15%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-400-dual-sim-5g-smartphone-256gb12gb-meteor-silver-133832199.html
Honor Velvet Black,"8,299.00 جنيه",10%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-x7d-dual-sim-4g-256gb8gb-velvet-black-133743987.html
Honor 400 Lite Dual SIM 5G 256GB/8GB - Velvet Grey,"12,299.00 جنيه",8%,4.1 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-400-lite-dual-sim-5g-256gb8gb-velvet-grey-133618935.html
Honor هاتف هونر X6c ثنائي الشريحة 4G – سعة 128 جيجابايت، 6 جيجابايت RAM – لون أوقيانوس سيان,"5,555.00 جنيه",12%,4.3 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-x6c-dual-sim-4g-smartphone-128gb-storage-6gb-ram-ocean-cyan-133130994.html
OPPO A5i ثنائي الشريحة 4G 128GB/4GB - بنفسجي نجمي,"6,380.00 جنيه",9%,4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oppo-a5i-dual-sim-4g-128gb4gb-starry-purple-133846653.html
"Samsung موبايل جالاكسي A56 256GB، 12GB رام – 6.7""، 5G، awesome olive","22,499.00 جنيه",5%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/samsung-galaxy-a56-256gb-12gb-ram-mobile-phone-6.7-5g-awesome-olive-132299740.html
Honor هاتف ذكي 400 ثنائي الشريحة 5G - 256 جيجابايت/12 جيجابايت - أسود داكن,"19,599.00 جنيه",15%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-400-dual-sim-5g-smartphone-256gb12gb-midnight-black-133832198.html
Samsung جالكسي موبايل A56 12 جيجابايت 256 جيجابايت أسود,"22,999.00 جنيه",5%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/samsung-galaxy-a56-mobile-phone-12gb-ram-256gb-5g-awesome-graphite-132115587.html
OPPO هاتف A6 Pro ثنائي الشريحة 4G سعة 256 جيجابايت/8 جيجابايت - أحمر خشب الورد,"14,666.00 جنيه",5%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oppo-a6-pro-dual-sim-4g-256gb8gb-rosewood-red-133846644.html
Honor 400 Lite Dual SIM 5G 256GB/8GB - Velvet Black,"12,299.00 جنيه",8%,4.5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-400-lite-dual-sim-5g-256gb8gb-velvet-black-133618934.html
OPPO A5 ثنائي الشريحة 4G 256 جيجابايت/8 جيجابايت - أخضر أورورا,"9,899.00 جنيه",9%,4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oppo-a5-dual-sim-4g-256gb8gb-aurora-green-133846651.html
Samsung Galaxy A56 – 8GB RAM – 256GB– Dual SIM – 5G – Android Smartphone – Awesome Graphite,"19,776.00 جنيه",9%,3.8 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/samsung-galaxy-a56-8gb-ram-256gb-dual-sim-5g-android-smartphone-awesome-graphite-132105832.html
Honor هاتف ذكي X6c بشريحتي اتصال – شبكة 4G – سعة تخزين 128 جيجابايت –  6 جيجابايت – اللون الأسود الليلي,"5,555.00 جنيه",12%,4.4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-x6c-dual-sim-4g-smartphone-128gb-storage-6gb-ram-midnight-black-133130993.html
Honor هاتف ذكي 400 ثنائي الشريحة 5G - 512 جيجابايت/12 جيجابايت - أسود داكن,"21,799.00 جنيه",14%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-400-dual-sim-5g-smartphone-512gb12gb-midnight-black-133832200.html
Honor Meteor Silver,"8,599.00 جنيه",7%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-x7d-dual-sim-4g-256gb8gb-meteor-silver-133743986.html
OPPO رينو 14f ثنائي الشريحة 5G 256 جيجابايت/12 جيجابايت - أزرق أوبال,"18,699.00 جنيه",9%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oppo-reno-14f-dual-sim-5g-256gb12gb-opal-blue-133846655.html
Honor 400 Lite Dual SIM 5G 256GB/8GB - Marrs Green,"12,299.00 جنيه",8%,4.2 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-400-lite-dual-sim-5g-256gb8gb-marrs-green-133618936.html
Samsung Galaxy A36 Dual SIM 5G 128GB/8GB Mobile Phone - Awesome Black,"14,599.00 جنيه",14%,4.5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/galaxy-a36-dual-sim-5g-128gb8gb-mobile-phone-awesome-black-samsung-mpg3861618.html
Honor هاتف X5c Plus ثنائي الشريحة 4G سعة 128 جيجابايت/4 جيجابايت - أسود ليلي,"4,399.00 جنيه",15%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-x5c-plus-dual-sim-4g-128gb4gb-midnight-black-133885513.html
Infinix Note 50S 5G 256/ 8GB Mobile Phone Titaanium Gray with Charger,"11,666.00 جنيه",9%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/infinix-note-50s-5g-256-8gb-mobile-phone-titaanium-gray-with-charger-133852172.html
OPPO A5i ثنائي الشريحة 4G 64GB/4GB - أحمر سديم,"5,299.00 جنيه",9%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oppo-a5i-dual-sim-4g-64gb4gb-nebula-red-133846642.html
Nothing CMF Phone 1 - Dual SIM 5G 128GB/8GB Mobile Phone - Light Green,"10,999.00 جنيه",24%,4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/nothing-cmf-phone-1-dual-sim-5g-128gb8gb-mobile-phone-light-green-133292010.html
Apple آيفون 17 برو ماكس 256 جيجابايت برتقالي 5G (eSim فقط) مع فيس تايم - نسخة الشرق الأوسط,"90,999.00 جنيه",2%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/apple-iphone-17-pro-max-256-gb-orange-5g-esim-only-with-facetime-middle-east-version-133752208.html
"Honor 200 - 6.7"" 512GB/12GB Dual SIM 5G Mobile Phone - Emerald Green","18,888.00 جنيه",30%,1 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/200-6.7-512gb12gb-dual-sim-5g-mobile-phone-emerald-green-honor-mpg3818104.html
Itel A50c Dual SIM 4G 64GB/2GB  - Sapphire  Black,"2,799.00 جنيه",26%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/itel-a50c-dual-sim-4g-64gb2gb-sapphire-black-133852141.html
XIAOMI ريدمي نوت 14 برو+ - هاتف محمول 6.6 بوصة 256 جيجا بايت/12 جيجا بايت ثنائي الشريحة 5G - أسود,"23,976.00 جنيه",15%,4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/xiaomi-mi-redmi-note-14-pro-6.6-inch-256gb12gb-dual-sim-5g-mobile-phone-midnight-black-130936429.html
Honor هاتف ذكي X6c بشريحتي اتصال – شبكة 4G – سعة تخزين 128 جيجابايت –  6 جيجابايت – اللون الأبيض القمري,"5,555.00 جنيه",12%,4.7 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-x6c-dual-sim-4g-smartphone-128gb-storage-6gb-ram-moonlight-white-133130995.html
Samsung هاتف سامسونج جالاكسي A56 ثنائي الشريحة 5G بسعة 128GB/8GB - لون جرافيت الرائع,"19,021.00 جنيه",7%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/samsung-galaxy-a56-dual-sim-5g-128gb8gb-6.7-inches-mobile-phone-awesome-graphite-133606401.html
realme C75 - هاتف محمول 6.7 بوصة 128 جيجابايت/8 جيجابايت ثنائي الشريحة 4G - أسود,"8,499.00 جنيه",9%,2.8 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/realme-c75-6.7-inch-128gb8gb-dual-sim-4g-mobile-phone-storm-black-130922330.html
Infinix GT 30 Pro 512/ 12GB Mobile Phone Dark Flare,"17,777.00 جنيه",8%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/infinix-gt-30-pro-512-12gb-mobile-phone-dark-flare-133852171.html
OPPO رينو 14f ثنائي الشريحة 5G 256 جيجابايت/12 جيجابايت - أخضر مضيء,"18,699.00 جنيه",9%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oppo-reno-14f-dual-sim-5g-256gb12gb-luminous-green-133846654.html
Samsung Galaxy A26 Dual SIM 5G 128GB/6GB Mobile Phone - Peach Pink,"11,199.00 جنيه",8%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/samsung-galaxy-a26-dual-sim-5g-128gb6gb-mobile-phone-peach-pink-133718368.html
Infinix Note 50S 5G 256/ 8GB Mobile Phone Burgundy Red with Charger,"11,666.00 جنيه",9%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/infinix-note-50s-5g-256-8gb-mobile-phone-burgundy-red-with-charger-133852173.html
"Samsung Galaxy Tab S10 Lite 5G Single SIM 8GB , 256GB, Gray","18,599.00 جنيه",18%,4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/samsung-galaxy-tab-s10-lite-5g-single-sim-8gb-256gb-gray-133830170.html
Honor X5c ثنائي الشريحة 4G 64 جيجابايت/4 جيجابايت - أسود داكن,"3,999.00 جنيه",14%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-x5c-dual-sim-4g-64gb4gb-midnight-black-133885515.html
Honor هاتف ذكي 400 Pro ثنائي الشريحة 5G - 512 جيجابايت/12 جيجابايت - رمادي قمري,"31,999.00 جنيه",10%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-400-pro-dual-sim-5g-smartphone-512gb12gb-lunar-grey-133721550.html
OPPO رينو 14F بشريحتين اتصال، 256 جيجابايت، 12 جيجا رام، شبكة الجيل الخامس - اخضر,"19,700.00 جنيه",30%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oppo-reno-14-f-dual-sim-256gb-12gb-ram-5g-luminous-green-133581158.html
